App Name,Package Name,Icon,Type Name,Type Id
Dainik Bhaskar,com.ak.ta.dainikbhaskar.activity,icon_dainik_bhaskar,NEWS,1
Dainik Jagran,com.hindi.jagran.android.activity,icon_dainik_jagran,NEWS,1
Facebook,com.facebook.katana,icon_facebook,OTHER TRUSTED,99
Messenger,com.facebook.orca,icon_messenger,OTHER TRUSTED,99
Instagram,com.instagram.android,icon_instagram,OTHER TRUSTED,99
Inshorts,com.nis.app,icon_inshorts,NEWS,1
Times of India,com.toi.reader.activities,icon_times_of_india,NEWS,1
JioNews,com.jio.media.jioxpressnews,icon_jionews,NEWS,1
Dailyhunt,com.eterno,icon_dailyhunt,NEWS,1
One News,com.dwarsoftgames.onenews,icon_one_news,NEWS,1
Bubble Shooter,bubble.shooter.pop.pro.free,icon_bubble_shooter,GAME,3
MiniJoy Lite,com.mini.joy.lite,icon_minijoy_lite,GAME,3
Gardenscapes,com.playrix.gardenscapes,icon_gardenscapes,GAME,3
Candy Crush Saga,com.king.candycrushsaga,icon_candy_crush_saga,GAME,3
Word Collect,com.platinumplayer.word.addict,icon_word_collect,GAME,3
Homescapes,com.playrix.homescapes,icon_homescapes,GAME,3
Kick the Buddy,com.playgendary.kickthebuddy,icon_kick_the_buddy,GAME,3
Bubble Shooter 2020,com.bubble.shooter.forest.pop,icon_bubble_shooter_2020,GAME,3
Indian Rummy,com.jungleegames.rummy,icon_indian_rummy,GAME,3
